time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.355182335976892e-08,1.0637837746119679e-06,10.006436260666478,0.000681330913893774,6.283040566573085,0.0,1.1135128096693071e-05,8.358676463537464e-05,0.2145255290879199,0.027681335123383055,-0.007736141378386049,0.0,472.43423762556256,471.83752836976606,470.47699287964576,472.61490529837295
0.12000000000000001,4.383175562936538e-06,2.1353705739973582e-05,10.01705093364626,0.00241210378422263,6.282357263672466,0.0,0.00017455051823685798,0.0007218130994209528,0.13930999588207993,0.03107935679770656,-0.019932212433982664,0.0,377.9841162028713,376.8072196724645,377.0083360227642,377.3368558428594
0.18,3.418727876652571e-05,0.00011588212495923701,10.026094558966992,0.004844394302309318,6.280973829197102,0.0,0.0009349456527614119,0.002627983229870792,0.1621402017467834,0.054773330878286175,-0.030181950248389964,0.0,412.6195397531169,411.7137332256794,410.21349028031653,412.312700644336
0.23999999999999996,0.00014365562940453532,0.0003877166089436422,10.039106935155253,0.0080718923848897,6.279112907767001,0.0,0.002903747566077419,0.006769930299477077,0.27158273617714374,0.051753003076961686,-0.03273622451484352,0.0,438.36758501408957,438.15497297988935,441.7171297067419,441.46996303696295
0.3,0.00042472680508111543,0.0010024802722248987,10.061852216832106,0.011277164741501977,6.277250105192719,0.0,0.006692532021850985,0.014097393656078348,0.4865214874898841,0.056563550453921765,-0.02786593205815477,0.0,472.1284032967491,472.5036816969831,471.6584983273838,472.03150943186967
0.36000000000000004,0.0009735235369006254,0.002129508645884889,10.096948777133896,0.015139146992001251,6.275286030998458,0.0,0.011808778266063233,0.0238949604123453,0.6832597548231765,0.07661518376359425,-0.04488259478281092,0.0,467.4402121062043,466.1120384483606,466.21053217308355,467.777100391618
0.4200000000000001,0.001820372462460345,0.0038272802561940774,10.136801002545827,0.019707039536754678,6.273008308117625,0.0,0.016620212335787816,0.033071469669507386,0.6451622945467173,0.07514687555581935,-0.02683761555972352,0.0,391.14615391394426,392.8218283230661,390.402193278189,390.27064220741323
0.48000000000000015,0.0030654221372989716,0.006300308461868394,10.181595612925179,0.02485771271149062,6.272018587824036,0.0,0.02502608760593099,0.04993289470317198,0.8478486003866443,0.10145904223754706,-0.0012626063057898217,0.0,468.13778058415335,470.12335704322226,467.588438492527,469.6388843451371
0.5400000000000001,0.004780368573134431,0.009792688828832991,10.23388502327021,0.031490121429438744,6.271910037042044,0.0,0.03214699855599205,0.06708187748767805,0.8950786766013034,0.12432990253893932,-0.0029254486974518382,0.0,419.51886313797314,419.37451073448864,420.8797871388689,422.86556537690916
0.6000000000000002,0.006920958661185666,0.014432810862302593,10.28864516530834,0.038700079176178015,6.271426489208061,0.0,0.03923354304162373,0.08826695703011714,0.9302069243600462,0.11017844850248794,-0.0210701864092101,0.0,416.39525250640804,414.80517630581727,418.55662545504265,417.3372873072032
0.6600000000000003,0.009599471030981592,0.020808364597468286,10.353828884057702,0.045291228585579546,6.269878354667229,0.0,0.05023138309350472,0.12512001034600329,1.2422574482848137,0.10919306016227324,-0.037519772796013956,0.0,501.6135020016545,500.41758829669226,500.6131473371111,500.55062830924095
0.7200000000000003,0.012889478594140006,0.029253070374827786,10.430837735408995,0.05249833183690633,6.268007032571404,0.0,0.059636935503545804,0.15705471729287107,1.3245738760318477,0.1359747040392608,-0.02084561352982226,0.0,433.3816416517684,434.7803205558875,430.94653900659233,433.2171740596827
0.7800000000000004,0.016816973404552467,0.039900926283875204,10.515295692165846,0.061276541365617554,6.266852564010794,0.0,0.0714106411051151,0.19881415699462415,1.49043045139289,0.16150787584279247,-0.016211406113290295,0.0,459.21998349720207,459.58745368799015,458.4555250321562,460.49837185416055
0.8400000000000004,0.021632694807360978,0.05386000377530795,10.619221595372018,0.07071408421998182,6.266375505020452,0.0,0.08921079087624179,0.26796175662923033,1.972954190677866,0.1471576550527371,0.004867547704276133,0.0,546.5319810715388,547.9350786852859,548.4802058921584,547.5446171385641
0.9000000000000005,0.02729728572305963,0.07128282419636324,10.738510777385459,0.07948942396042913,6.266479971498217,0.0,0.09958860599086791,0.3136002071140085,2.0032317238030926,0.14439009185750454,-0.005388873728846121,0.0,419.35042816836153,418.4585765713693,418.6827733577239,418.46340617368895
0.9600000000000005,0.03366611154809642,0.09199972422710591,10.864450237536252,0.08794451438779483,6.266156436680195,0.0,0.1127367399682857,0.3779213332334912,2.1943076267884507,0.1328790118523063,-0.005398994669232722,0.0,469.5713350345373,469.5706457838365,470.0109289613046,469.13523745247574
1.0200000000000005,0.0407580239207827,0.11638679410004237,10.99755869492135,0.09549928361029014,6.265546127871975,0.0,0.12370027373039738,0.4357065585293461,2.242466162794599,0.10596007353822993,-0.022019324112892553,0.0,425.38846137546653,423.9629883746158,428.2599174475517,425.9788979985726
1.0800000000000005,0.0486184888530865,0.1448947835589885,11.138864536669821,0.10155546167428575,6.264218061698401,0.0,0.13846663219836441,0.5152596827164548,2.467173547587331,0.0882987619676024,-0.022365637218042453,0.0,481.4176168692314,481.3914348211373,480.7862907692494,479.4542313742262
1.1400000000000006,0.05733280134818902,0.17797313990981062,11.29028182815827,0.10714794898730329,6.2626248132826525,0.0,0.15215639232599712,0.5878859700809407,2.579738675831798,0.10155578539367344,-0.036623878349287035,0.0,448.1676821256251,447.0071219682209,448.06108115729467,449.1447163514353
